mean_feature_variance,median_feature_variance,mean_correlation,min_correlation,dataset,augmentation,expl_method,mean_accuracy,,,,,,,,,,,,,,,,,,
0.0,0.0,0.9999999999999999,0.9999999999999997,iris,no_augmentation,shap,1.0,,,,,,,,,,,,,,,,,,
7.321806929181474e-33,7.447235796936813e-33,0.6438583889023801,0.14561516360892757,iris,add_random_noise,shap,1.0,,,,,,,,,,,,,,,,,,
7.427346050485235e-33,7.431144924966146e-33,0.7041226835004144,0.24285442317029646,iris,feature_jitter,shap,1.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.9999999999999999,0.9999999999999999,iris,scale_standard,shap,1.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.9999999999999999,0.9999999999999999,iris,scale_minmax,shap,1.0,,,,,,,,,,,,,,,,,,
0.0,0.0,0.9999999999999999,0.9999999999999999,iris,scale_robust,shap,1.0,,,,,,,,,,,,,,,,,,
1.970451531332085e-05,1.9016274747593947e-05,0.9982433522979666,0.9975101226536875,iris,no_augmentation,lime,1.0,,,,,,,,,,,,,,,,,,
4.1678732884927235e-05,4.3478383903038515e-05,0.9966507079890945,0.9902544017807688,iris,add_random_noise,lime,1.0,,,,,,,,,,,,,,,,,,
4.0944082800268953e-05,3.852167089527337e-05,0.9968286708060781,0.9901327314130351,iris,feature_jitter,lime,1.0,,,,,,,,,,,,,,,,,,
1.970451531332085e-05,1.9016274747593944e-05,0.9982433522979666,0.9975101226536875,iris,scale_standard,lime,1.0,,,,,,,,,,,,,,,,,,
1.970451531332085e-05,1.901627474759394e-05,0.9982433522979666,0.9975101226536875,iris,scale_minmax,lime,1.0,,,,,,,,,,,,,,,,,,
1.9704515313320843e-05,1.9016274747593947e-05,0.9982433522979666,0.9975101226536875,iris,scale_robust,lime,1.0,,,,,,,,,,,,,,,,,,
1.2198530405852342e-07,9.497904738326388e-08,0.9152209657243248,0.836747680573213,wine,no_augmentation,shap,1.0,,,,,,,,,,,,,,,,,,
1.339830821616234e-06,1.017732427993476e-06,0.26641084251284447,0.04226725555496846,wine,add_random_noise,shap,0.9986111111111111,,,,,,,,,,,,,,,,,,
1.2938069311873504e-06,1.0950133097054878e-06,0.23536183457681853,-0.0249558847824023,wine,feature_jitter,shap,0.9972222222222221,,,,,,,,,,,,,,,,,,
1.1672995509655642e-07,9.153384450020442e-08,0.9235033532088784,0.8695289551419982,wine,scale_standard,shap,1.0,,,,,,,,,,,,,,,,,,
1.8793145686714474e-07,8.678177902899847e-08,0.8910379018908133,0.7323135820667854,wine,scale_minmax,shap,1.0,,,,,,,,,,,,,,,,,,
3.044054502982003e-07,1.0692574638549821e-07,0.8549164413862355,0.7148812369304016,wine,scale_robust,shap,1.0,,,,,,,,,,,,,,,,,,
7.728973760664275e-06,7.6191968215954684e-06,0.9956860864305564,0.9949509523108141,wine,no_augmentation,lime,1.0,,,,,,,,,,,,,,,,,,
4.289771763815695e-05,4.085858126827435e-05,0.9778035533157364,0.9459812997482298,wine,add_random_noise,lime,0.9986111111111111,,,,,,,,,,,,,,,,,,
4.672010091611313e-05,3.629856441960032e-05,0.974677442292993,0.9385171796324184,wine,feature_jitter,lime,0.9972222222222221,,,,,,,,,,,,,,,,,,
7.728974891771512e-06,7.619435114306382e-06,0.9956862567440453,0.9949514416228942,wine,scale_standard,lime,1.0,,,,,,,,,,,,,,,,,,
7.72903344926771e-06,7.619348660621585e-06,0.9956860564204587,0.9949509523108141,wine,scale_minmax,lime,1.0,,,,,,,,,,,,,,,,,,
7.729032702481214e-06,7.619393002158004e-06,0.995686048833617,0.9949510948597626,wine,scale_robust,lime,1.0,,,,,,,,,,,,,,,,,,
1.2036279161230736e-35,5.4735029328336515e-36,0.00330059306120264,-0.020149211866785727,mnist,no_augmentation,shap,0.9980000000000002,,,,,,,,,,,,,,,,,,
1.1950014526717874e-35,4.47005080054611e-36,-0.0006018454680218479,-0.028216612715195176,mnist,geometric_transform,shap,0.9924,,,,,,,,,,,,,,,,,,
1.1351671219325592e-35,5.99581112139742e-36,-0.00021086891436865521,-0.01536056564240615,mnist,add_random_noise,shap,0.9984,,,,,,,,,,,,,,,,,,
3.974128668303089e-06,9.799054324201096e-08,0.9505938666574315,0.9498739665495278,mnist,no_augmentation,lime,0.9980000000000002,,,,,,,,,,,,,,,,,,
3.957606961160064e-06,3.2480498897412937e-06,0.34901888518465934,0.187044441297276,mnist,geometric_transform,lime,0.9924,,,,,,,,,,,,,,,,,,
6.269785842022645e-06,2.3518612367990572e-07,0.9175199695010813,0.908822076026604,mnist,add_random_noise,lime,0.9984,,,,,,,,,,,,,,,,,,
